keys,en
GFX_RES_9X,"9x Native (~3240px)"
GFX_RES_10X,"10x Native (~3600px/6K UHD)"
GFX_RES_11X,"11x Native (~3960px)"
GFX_RES_12X,"12x Native (~4320px/8K UHD)"
GFX_TEXFILTER_NEAREST,"Nearest"
GFX_TEXFILTER_BILINEAR_FORCED,"Bilinear (Forced)"
GFX_TEXFILTER_BILINEAR_PS2,"Bilinear (PS2)"
GFX_TEXFILTER_BILINEAR_NOSPRITE,"Bilinear (Forced excluding sprite)"
GFX_DEINT_NONE,"No Deinterlacing"
GFX_DEINT_WEAVE_TFF,"Weave (Top Field First, Sawtooth)"
GFX_DEINT_WEAVE_BFF,"Weave (Bottom Field First, Sawtooth)"
GFX_DEINT_BOB_TFF,"Bob (Top Field First, Full Frames) (16:9)"
GFX_DEINT_BOB_BFF,"Bob (Bottom Field First, Full Frames)"
GFX_DEINT_BLEND_TFF,"Blend (Top Field First, Merge 2 Fields)"
GFX_DEINT_BLEND_BFF,"Blend (Bottom Field First, Merge 2 Fields)"
GFX_DEINT_ADAPTIVE_TFF,"Adaptive (Top Field First, Similar to Bob + Weave)"
GFX_DEINT_ADAPTIVE_BFF,"Adaptive (Bottom Field First, Similar to Bob + Weave)"
GFX_BILINEAR_NONE,"None"
GFX_BILINEAR_SMOOTH,"Bilinear (Smooth)"
GFX_BILINEAR_SHARP,"Bilinear (Sharp)"
GFX_TRILINEAR_OFF,"Off (None)"
GFX_TRILINEAR_PS2,"Trilinear (PS2)"
GFX_TRILINEAR_FORCED,"Trilinear (Forced)"
GFX_DITHER_OFF,"Off"
GFX_DITHER_SCALED,"Scaled"
GFX_DITHER_UNSCALED,"Unscaled (Default)"
GFX_DITHER_FORCE32,"Force 32bit"
SETTINGS_ADV_TITLE,"ADVANCED CUSTOM SETTINGS"
SETTINGS_ADV_ENABLE,"ENABLE ADVANCED SETTINGS"
SETTINGS_ADV_OPEN_LABEL,"ADVANCED SETTINGS"
SETTINGS_ADV_OPEN_HINT,"Edit the PCSX2 configuration files by hand."
SETTINGS_ADV_OPEN_BTN,"OPEN ADVANCED SETTINGS"
SETTINGS_EMULATOR_LABEL,"EMULATOR"
SETTINGS_EMULATOR_HINT,"Open the PCSX2 interface."
SETTINGS_EMULATOR_BTN,"OPEN EMULATOR"
SETTINGS_ADV_WARNING,"WARNING\n\nThis screen is a simplified setup for a quick start. PCSX2 offers full control through its own options. Click [OPEN ADVANCED SETTINGS] to edit the configuration files, or [OPEN EMULATOR] to open the emulator interface.\n\nChanging these settings can break the launcher. We recommend touching only the graphics options. Speed hacks cause critical errors, and custom gameplay settings invalidate your records.\n"
SERVER_MAIN_TITLE,"Main Servers"
SERVER_AR_LABEL,"Server located in Argentina"
SERVER_USA_LABEL,"Server located in USA"
SERVER_GER_LABEL,"Server located in Germany"
SERVER_JAP_LABEL,"Server located in Japan"
SERVER_AR_DESC,"Main server for Alissrip.net. Matchmaking runs here. Outbreak Hub stays unavailable while this server is offline. Report connection or ping issues on Discord."
SERVER_RELAY_DESC,"Relay server for in game matches only. Matchmaking and login run somewhere else."
SERVER_SELECTION_WARNING,"WARNING: Server selection applies only to rooms you create. Joining an existing room connects you to that room's server."
SELFHOST_TITLE,"Host your own server"
SELFHOST_STEPS_LABEL,"Before you host"
SELFHOST_GUIDE,"Hosting your own server takes only a few steps.\n\nFirst, open port 8690. Players cannot connect to your server while that port stays closed. \n\nYou can check the port at ""[url=https://www.yougetsignal.com/tools/open-ports/]https://www.yougetsignal.com/tools/open-ports/[/url]"" once the server is running.\n\nSecond, you need a stable PC and a stable internet connection. There are no strict minimum specs. The person with the most powerful hardware in the group is the best candidate to host.\n\nRemember to allow port 8690 through your firewall. It often blocks traffic before it reaches your router.\n\nThe process is very similar to hosting a Minecraft server. Anyone who has done that will run this one without trouble."
SELFHOST_YOUR_SERVER,"Your Server"
SERVER_STATUS_PREFIX,"Server status: "
SERVER_STATUS_OFFLINE,"Server status: offline."
SELFHOST_TEST_PORT,"Test Port"
SELFHOST_DOWNLOAD_TITLE,"Download Java server"
SELFHOST_DOWNLOAD_DESC,"Download the Java server to host your own Outbreak File 1 server."
SELFHOST_ARCH_TITLE,"About the server architecture"
